Date,Description,Amount
2025-01-03,Starbucks,-4.50
2025-01-04,Kroger Groceries,-62.18
2025-01-05,Rent Payment,-1350.00
2025-01-06,Paycheck,2200.00
2025-01-08,Gas Station,-42.30
2025-01-09,Netflix Subscription,-15.99
2025-01-12,Amazon,-83.45
2025-01-14,Uber,-18.20
2025-01-18,Water Bill,-34.12
2025-01-20,Internet Bill,-65.00
2025-01-22,Costco,-128.77
2025-01-24,Spotify,-10.99
2025-01-27,Target,-56.40
2025-02-01,Paycheck,2200.00
2025-02-03,Rent Payment,-1350.00
2025-02-05,Starbucks,-6.25
2025-02-07,Electric Bill,-98.60
2025-02-09,Kroger Groceries,-74.10
2025-02-11,Gas Station,-39.75
2025-02-13,Amazon,-121.00
2025-02-16,Uber,-24.50
2025-02-18,Movie Theater,-22.00
2025-02-21,Costco,-112.33
2025-02-23,Doctor Visit,-65.00
2025-02-26,Target,-47.90
